Sentences,UseCase
Name can not be blank,Value not_equals to null
X can not be empty,Value not_equals to null
Age can not be empty,Value not_equals to null
Value can not be empty,Value not_equals to null
Input can not be empty,Value not_equals to null
Name can not be empty,Value not_equals to null
Email can be defined,Value not_equals to null
DOB can be defined,Value not_equals to null
Age can be defined,Value not_equals to null
Value can be null,Value equals to null
Age cannot be null,Value equals to null
X can be null,Value equals to null
Input can be null,Value equals to null
Name can be null,Value equals to null
Value is  null,Value equals to null
Age is  null,Value equals to null
X  is  null,Value equals to null
Input can null,Value equals to null
Name can null,Value equals to null
Value can  be equal to null,Value equals to null
Age can  be equal to null,Value equals to null
X can  be equal to null,Value equals to null
Input can  be equal to null,Value equals to null
Name can  be equal to null,Value equals to null
Value can  be left empty,Value equals to null
Age can  be left empty,Value equals to null
X can  be left empty,Value equals to null
Input can  be left empty,Value equals to null
Name can  be left empty,Value equals to null
Value is  be a null,Value equals to null
Age is  be a null,Value equals to null
X is  be a null,Value equals to null
Input is  be a null,Value equals to null
Name is  be a null,Value equals to null
X is  empty,Value equals to null
Age is  empty,Value equals to null
Value is  empty,Value equals to null
Input is  empty,Value equals to null
Name is  empty,Value equals to null
X isn't permitted to be null,Value equals to null
Nameisn't permitted to be null,Value equals to null
Value isn't permitted to be null,Value equals to null
Input isn't permitted to be null,Value equals to null
Age isn't permitted to be null,Value equals to null
X must  be blank,Value equals to null
Name must  be blank,Value equals to null
Age must  be blank,Value equals to null
Input must  be blank,Value equals to null
Value must  be blank,Value equals to null
X must  be empty,Value equals to null
Name must  be empty,Value equals to null
Age must  be empty,Value equals to null
Input must  be empty,Value equals to null
Value must  be empty,Value equals to null
X must  be equal to null,Value equals to null
Name must  be equal to null,Value equals to null
Age must  be equal to null,Value equals to null
Input must  be equal to null,Value equals to null
Value must  be equal to null,Value equals to null
X must  be null,Value equals to null
Name must  be null,Value equals to null
Age must  be null,Value equals to null
Input must  be null,Value equals to null
Value must  be null,Value equals to null
X should  be empty,Value equals to null
Name should  be empty,Value equals to null
Age should  be empty,Value equals to null
Input should  be empty,Value equals to null
Value should  be empty,Value equals to null
X should  be null,Value equals to null
Name should  be null,Value equals to null
Age should  be null,Value equals to null
Input should  be null,Value equals to null
Value should  be null,Value equals to null
X should  be equal to null,Value equals to null
Name should  be equal to null,Value equals to null
Age should  be equal to null,Value equals to null
Input should  be equal to null,Value equals to null
Value should  be equal to null,Value equals to null
X should  be blank,Value equals to null
Name should  be blank,Value equals to null
Age should  be blank,Value equals to null
Input should  be blank,Value equals to null
Value should  be blank,Value equals to null
X is different from null,Value equals to null
Value is different from null,Value equals to null
Name is different from null,Value equals to null
Age is different from null,Value equals to null
Name is different from null,Value equals to null
X is unable to be null ,Value equals to null
Age is unable to be null,Value equals to null
Name is unable to be null,Value equals to null
Input is unable to be null,Value equals to null
Value is unable to be null,Value equals to null
Value can  be  blank,Value equals to null
Age can  be blank,Value equals to null
X can  be blank,Value equals to null
Input can  be blank,Value equals to null
Name can  be blank,Value equals to null
X can  be empty,Value equals to null
Age can  be empty,Value equals to null
Value can  be empty,Value equals to null
Input can  be empty,Value equals to null
Name can  be empty,Value equals to null
Email cannot be defined,Value equals to null
DOB cannot be defined,Value equals to null
Age cannot be defined,Value equals to null
Age cannot be missing,Value not_equals to null
Value cannot be missing,Value not_equals to null
Name cannot be missing,Value not_equals to null
DOB cannot be missing,Value not_equals to null
Input cannot be missing,Value not_equals to null
Age can be missing,Value equals to null
Value can be missing,Value equals to null
Name can be missing,Value equals to null
DOB can be missing,Value equals to null
Input can be missing,Value equals to null
Value should not be void,Value not_equals to null
Age should not be void,Value not_equals to null
Name should not be void,Value not_equals to null
DOB should not be void,Value not_equals to null
Input should not be void,Value not_equals to null
Value should be void,Value equals to null
Age should be void,Value equals to null
Name should be void,Value equals to null
DOB should be void,Value equals to null
Input should be void,Value equals to null
Value contains nothing,Value equals to null
Age contains nothing,Value equals to null
Name contains nothing,Value equals to null
DOB contains nothing,Value equals to null
Input contains nothing,Value equals to null
Value contains something,Value not_equals to null
Age contains something,Value not_equals to null
Name contains something,Value not_equals to null
DOB contains something,Value not_equals to null
Input contains something,Value not_equals to null
Value has no value,Value equals to null
Age has no value,Value equals to null
Name has no value,Value equals to null
DOB has no value,Value equals to null
Input has no value,Value equals to null
Value has value,Value not_equals to null
Age has value,Value not_equals to null
Name has value,Value not_equals to null
DOB has value,Value not_equals to null
Input has value,Value not_equals to null
Value is invalid,Value equals to null
Age is invalid,Value equals to null
Name is invalid,Value equals to null
DOB is invalid,Value equals to null
Input is invalid,Value equals to null
Value is valid,Value not_equals to null
Age is valid,Value not_equals to null
Name is valid,Value not_equals to null
DOB is valid,Value not_equals to null
Input is valid,Value not_equals to null
Value is expected to be empty,Value equals to null
Age is expected to be empty,Value equals to null
Input is expected to be empty,Value equals to null
Age is expected to be empty,Value equals to null
DOB is expected to be empty,Value equals to null
Value is not expected to be empty,Value not_equals to null
Age is not expected to be empty,Value not_equals to null
Input is not expected to be empty,Value not_equals to null
Age is not expected to be empty,Value not_equals to null
DOB is not expected to be empty,Value not_equals to null
Value is required not to be null,Value not_equals to null
Age is required not to be null,Value not_equals to null
Input is required not to be null,Value not_equals to null
Age is required not to be null,Value not_equals to null
DOB is required not to be null,Value not_equals to null
Value is required not to be empty,Value not_equals to null
Age is required not to be empty,Value not_equals to null
Input is required not to be empty,Value not_equals to null
Age is required not to be empty,Value not_equals to null
DOB is required not to be empty,Value not_equals to null
Value is required to be null,Value equals to null
Age is required to be null,Value equals to null
Input is required to be null,Value equals to null
Age is required to be null,Value equals to null
DOB is required to be null,Value equals to null
Value is required to be empty,Value equals to null
Age is required to be empty,Value equals to null
Input is required to be empty,Value equals to null
Age is required to be empty,Value equals to null
DOB is required to be empty,Value equals to null
Value applies null,Value equals to null
Age applies null,Value equals to null
Input applies null,Value equals to null
Age applies null,Value equals to null
DOB applies null,Value equals to null
Value works null,Value equals to null
Age works null,Value equals to null
Input works null,Value equals to null
Age works null,Value equals to null
DOB works null,Value equals to null
Value works not null,Value not_equals to null
Age works not null,Value not_equals to null
Input works not null,Value not_equals to null
Age works not null,Value not_equals to null
DOB works not null,Value not_equals to null
Value applies not null,Value not_equals to null
Age applies not null,Value not_equals to null
Input applies not null,Value not_equals to null
Age applies not null,Value not_equals to null
DOB applies not null,Value not_equals to null
Value will not hold the value null,Value not_equals to null
Age will not hold the value null,Value not_equals to null
Input will not hold the value null,Value not_equals to null
Age will not hold the value null,Value not_equals to null
DOB will not hold the value null,Value not_equals to null
Value will hold the value null,Value equals to null
Age will hold the value null,Value equals to null
Input will hold the value null,Value equals to null
Age will hold the value null,Value equals to null
DOB will hold the value null,Value equals to null
Value can not hold the value null,Value not_equals to null
Age can not hold the value null,Value not_equals to null
Input can not hold the value null,Value not_equals to null
Age can not hold the value null,Value not_equals to null
DOB can not hold the value null,Value not_equals to null
Value can hold the value null,Value equals to null
Age can hold the value null,Value equals to null
Input can hold the value null,Value equals to null
Age can hold the value null,Value equals to null
DOB can hold the value null,Value equals to null
Value must not hold the value null,Value not_equals to null
Age must not hold the value null,Value not_equals to null
Input must not hold the value null,Value not_equals to null
Age must not hold the value null,Value not_equals to null
DOB must not hold the value null,Value not_equals to null
Value must hold the value null,Value equals to null
Age must hold the value null,Value equals to null
Input must hold the value null,Value equals to null
Age must hold the value null,Value equals to null
DOB must hold the value null,Value equals to null
Value should not hold the value null,Value not_equals to null
Age should not hold the value null,Value not_equals to null
Input should not hold the value null,Value not_equals to null
Age should not hold the value null,Value not_equals to null
DOB should not hold the value null,Value not_equals to null
Value should hold the value null,Value equals to null
Age should hold the value null,Value equals to null
Input should hold the value null,Value equals to null
Age should hold the value null,Value equals to null
DOB should hold the value null,Value equals to null
VALUE should not be of a type number. ,VALUE is not_equal to NUMBER
VALUE should n't be of type number. ,VALUE is not_equal to NUMBER
VALUE should n't be of a type number. ,VALUE is not_equal to NUMBER
VALUE is integer. ,VALUE is equal to NUMBER
VALUE is an integer. ,VALUE is equal to NUMBER
SUM is n't an integer. ,VALUE is not_equal to NUMBER
SUM is not an integer. ,VALUE is not_equal to NUMBER
SUM must not be an integer. ,VALUE is not_equal to NUMBER
SUM must n't be an integer. ,VALUE is not_equal to NUMBER
SUM should be an integer. ,VALUE is equal to NUMBER
SUM should not be an integer. ,VALUE is not_equal to NUMBER
SUM should n't be an integer. ,VALUE is not_equal to NUMBER
SUM is n't integer. ,VALUE is not_equal to NUMBER
SUM is not integer. ,VALUE is not_equal to NUMBER
SUM must be integer. ,VALUE is equal to NUMBER
SUM must not be integer. ,VALUE is not_equal to NUMBER
SUM must n't be integer. ,VALUE is not_equal to NUMBER
Price should be integer. ,VALUE is equal to NUMBER
Price should not be integer. ,VALUE is not_equal to NUMBER
Price should n't be integer. ,VALUE is not_equal to NUMBER
Price is of type integer. ,VALUE is equal to NUMBER
Price is of a type integer. ,VALUE is not_equal to NUMBER
Price is n't of type integer. ,VALUE is not_equal to NUMBER
Price is n't of a type integer. ,VALUE is not_equal to NUMBER
Price is not of type integer. ,VALUE is not_equal to NUMBER
Price is not of a type integer. ,VALUE is not_equal to NUMBER
Price must be of a type integer. ,VALUE is equal to NUMBER
Price must not be of type integer. ,VALUE is not_equal to NUMBER
Price must not be of a type integer. ,VALUE is not_equal to NUMBER
Price must n't be of type integer. ,VALUE is not_equal to NUMBER
Price must n't be of a type integer. ,VALUE is not_equal to NUMBER
Price should not be of type integer. ,VALUE is not_equal to NUMBER
Price should not be of a type integer. ,VALUE is not_equal to NUMBER
Price should n't be of type integer. ,VALUE is not_equal to NUMBER
Price should n't be of a type integer. ,VALUE is not_equal to NUMBER
DOB can not contain numerics.  ,VALUE is not_equal to NUMBER
Age can contain numerics.  ,VALUE is not_equal to NUMBER
INPUT may not contain numerics.  ,VALUE is not_equal to NUMBER
INPUT may contain numerics.  ,VALUE is equal to NUMBER
INPUT should not contain numerics.  ,VALUE is not_equal to NUMBER
INPUT should contain numerics.  ,VALUE is equal to NUMBER
INPUT must not contain numerics.  ,VALUE is not_equal to NUMBER
INPUT must contain numerics.  ,VALUE is equal to NUMBER
INPUT can have numeral.  ,VALUE is equal to NUMBER
INPUT may have numeral.  ,VALUE is equal to NUMBER
INPUT should have numeral.  ,VALUE is equal to NUMBER
INPUT must have numeral.  ,VALUE is equal to NUMBER
can not contain numerics. ,VALUE is not_equal to NUMBER
,
DOB is a date.,VALUE is equal to DATE
DOB is a calendar date.,VALUE is equal to DATE
DOB is of type date.,VALUE is equal to DATE
DOB must be a date.,VALUE is equal to DATE
DOB must be a date type.,VALUE is equal to DATE
DOB should be a date.,VALUE is equal to DATE
DOB should be of type date.,VALUE is equal to DATE
DOB can have type only of date.,VALUE is equal to DATE
DOB can have values of type date only.,VALUE is equal to DATE
DOB can only be of type date.,VALUE is equal to DATE
DOB can not have type other than date type.,VALUE is equal to DATE
DOB consists of a date.,VALUE is equal to DATE
DOB describes date.,VALUE is equal to DATE
DOB is comprised of a date.,VALUE is equal to DATE
DOB is equivalent to date.,VALUE is equal to DATE
DOB must be ' date '.,VALUE is equal to DATE
DOB represents a date.,VALUE is equal to DATE
"DOB represents a specific day , month and year.",VALUE is equal to DATE
DOB shall be ' date '.,VALUE is equal to DATE
DOB should contain the value of date.,VALUE is equal to DATE
DOB must be of type date.,VALUE is equal to DATE
DOB must be a valid date.,VALUE is equal to DATE
DOB must be of type date.,VALUE is equal to DATE
DOB is date.,VALUE is equal to DATE
Name is n't a date.,VALUE is not_equal to DATE
Age is not a date.,VALUE is not_equal to DATE
Day must be date.,VALUE is equal to DATE
Price must not be date.,VALUE is not_equal to DATE
Amount must not be a date.,VALUE is not_equal to DATE
Day must n't be date.,VALUE is not_equal to DATE
Price must n't be a date.,VALUE is not_equal to DATE
Date of birth should be date.,VALUE is equal to DATE
Location should not be date.,VALUE is not_equal to DATE
Place should not be a date.,VALUE is not_equal to DATE
Age should n't be date.,VALUE is not_equal to DATE
Amount should n't be a date.,VALUE is not_equal to DATE
Price is n't date.,VALUE is not_equal to DATE
Value is not date.,VALUE is not_equal to DATE
amt is not of type date.,VALUE is not_equal to DATE
task is n't of type date.,VALUE is not_equal to DATE
task must not be of type date.,VALUE is not_equal to DATE
price must n't be of type date.,VALUE is not_equal to DATE
price should not be of type date.,VALUE is not_equal to DATE
price should n't be of type date.,VALUE is not_equal to DATE
Date of birth represents a specific day  month and year.,VALUE is equal to DATE
Location can not contain date data type.,VALUE is not_equal to DATE
Phone can not contain date data type.,VALUE is not_equal to DATE
Email can not contain date data type.,VALUE is not_equal to DATE
Name can not contain date data type.,VALUE is not_equal to DATE
Location can not contain date data type.,VALUE is not_equal to DATE
DOB can contain date data type.,VALUE is equal to DATE
Date of birth can only hold date data type.,VALUE is equal to DATE
Email can not hold date data type.,VALUE is not_equal to DATE
Name can not hold date data type.,VALUE is not_equal to DATE
Price can not hold date data type.,VALUE is not_equal to DATE
Amount can not hold date data type.,VALUE is not_equal to DATE
Value can not hold date data type.,VALUE is not_equal to DATE
Date of birth is a calendar date.,VALUE is equal to DATE
Date of birth is of type date.,VALUE is equal to DATE
Date of birth must be a date.,VALUE is equal to DATE
Date of birth must be a date type.,VALUE is equal to DATE
Date of birth should be a date.,VALUE is equal to DATE
Date of birth should be of type date.,VALUE is equal to DATE
Date of birth can have type only of date.,VALUE is equal to DATE
Date of birth can have values of type date only.,VALUE is equal to DATE
Date of birth can only be of type date.,VALUE is equal to DATE
Date of birth can not have type other than date type.,VALUE is equal to DATE
Date of birth consists of a date.,VALUE is equal to DATE
Date of birth describes date.,VALUE is equal to DATE
Date of birth is comprised of a date.,VALUE is equal to DATE
Date of birth is equivalent to date.,VALUE is equal to DATE
Date of birth must be ' date '.,VALUE is equal to DATE
Date of birth represents a date.,VALUE is equal to DATE
"Date of birth represents a specific day , month and year.",VALUE is equal to DATE
Date of birth shall be ' date '.,VALUE is equal to DATE
Date of birth should contain the value of date.,VALUE is equal to DATE
Date of birth must be of type date.,VALUE is equal to DATE
Date of birth must be a valid date.,VALUE is equal to DATE
Date of birth must be of type date.,VALUE is equal to DATE
Date of birth is date.,VALUE is equal to DATE
Birth date is a calendar date.,VALUE is equal to DATE
Birth date is of type date.,VALUE is equal to DATE
Birth date must be a date.,VALUE is equal to DATE
Birth date must be a date type.,VALUE is equal to DATE
Birth date should be a date.,VALUE is equal to DATE
Birth date should be of type date.,VALUE is equal to DATE
Birth date can have type only of date.,VALUE is equal to DATE
Birth date can have values of type date only.,VALUE is equal to DATE
Birth date can only be of type date.,VALUE is equal to DATE
Birth date can not have type other than date type.,VALUE is equal to DATE
Birth date consists of a date.,VALUE is equal to DATE
Birth date describes date.,VALUE is equal to DATE
Birth date is comprised of a date.,VALUE is equal to DATE
Birth date is equivalent to date.,VALUE is equal to DATE
Birth date must be ' date '.,VALUE is equal to DATE
Birth date represents a date.,VALUE is equal to DATE
"Birth date represents a specific day , month and year.",VALUE is equal to DATE
Birth date shall be ' date '.,VALUE is equal to DATE
Birth date should contain the value of date.,VALUE is equal to DATE
Birth date must be of type date.,VALUE is equal to DATE
Birth date must be a valid date.,VALUE is equal to DATE
Birth date must be of type date.,VALUE is equal to DATE
Birth date is date.,VALUE is equal to DATE
DATE is a calendar date.,VALUE is equal to DATE
DATE is of type date.,VALUE is equal to DATE
DATE must be a date.,VALUE is equal to DATE
DATE must be a date type.,VALUE is equal to DATE
DATE should be a date.,VALUE is equal to DATE
DATE should be of type date.,VALUE is equal to DATE
DATE can have type only of date.,VALUE is equal to DATE
DATE can have values of type date only.,VALUE is equal to DATE
DATE can only be of type date.,VALUE is equal to DATE
DATE can not have type other than date type.,VALUE is equal to DATE
DATE consists of a date.,VALUE is equal to DATE
DATE describes date.,VALUE is equal to DATE
DATE is comprised of a date.,VALUE is equal to DATE
DATE is equivalent to date.,VALUE is equal to DATE
DATE must be ' date '.,VALUE is equal to DATE
DATE represents a date.,VALUE is equal to DATE
"DATE represents a specific day , month and year.",VALUE is equal to DATE
DATE shall be ' date '.,VALUE is equal to DATE
DATE should contain the value of date.,VALUE is equal to DATE
DATE must be of type date.,VALUE is equal to DATE
DATE must be a valid date.,VALUE is equal to DATE
DATE must be of type date.,VALUE is equal to DATE
DATE is date.,VALUE is equal to DATE
,
"jkmmvk should not be greater than 42320 ,but less than 1988","Value is_within(1988,42320)"
"jkmmvk should not be greater than 42320 ,but less than 1988","Value is_within(1988,42320)"
"jkmmvk must be greater than 1988 ,but less than 42320","Value is_within(1988,42320)"
"jkmmvk could be greater than 1988 ,but less than 42320","Value is_within(1988,42320)"
"jkmmvk is more than 1988 ,but less than 42320","Value is_within(1988,42320)"
"jkmmvk is greater than 1988,but less than 42320","Value is_within(1988,42320)"
"jkmmvk must be greater than 1988,but less than  42320","Value is_within(1988,42320)"
"jkmmvk exceeds 1988,but does not exceeds 42320","Value is_within(1988,42320)"
jkmmvk could be less than 1988 and more than 42320,"Value is_within(1988,42320)"
jkmmvk might be in between 1988 to 42320,"Value is_within(1988,42320)"
jkmmvk can be in range 1988 to 42320,"Value is_within(1988,42320)"
jkmmvk is with in 1988 to 42320,"Value is_within(1988,42320)"
jkmmvk must be in beetwen 1988 to 42320,"Value is_within(1988,42320)"
jkmmvk is more than 1988 and also jkmmvk should not exceed 42320,"Value is_within(1988,42320)"
"jkmmvk is comprised between 1988, excluded, and 42320","Value is_within(1988,42320)"
jkmmvk is strictly greater than 1988 and strictly lower than 42320,"Value is_within(1988,42320)"
"jkmmvk IS LONGER THAN one thousand, nine hundred and eighty-eight AND ALSO jkmmvk IS SMALL THAN forty-two thousand, three hundred and twenty","Value is_within(1988,42320)"
"jkmmvk lies between one thousand, nine hundred and eighty-eight and forty-two thousand, three hundred and twenty","Value is_within(1988,42320)"
jkmmvk equals a number under 1988 and over 42320,"Value is_within(1988,42320)"
jkmmvk shall be found somewhere between 1988 and 42320,"Value is_within(1988,42320)"
"czurna should not be greater than 78178 ,but less than 3894","Value is_within(3894,78178)"
"czurna must be greater than 3894 ,but less than 78178","Value is_within(3894,78178)"
"czurna could be greater than 3894 ,but less than 78178","Value is_within(3894,78178)"
"czurna is more than 3894 ,but less than 78178","Value is_within(3894,78178)"
"czurna is greater than 3894,but less than 78178","Value is_within(3894,78178)"
"czurna must be greater than 3894,but less than  78178","Value is_within(3894,78178)"
"czurna exceeds 3894,but does not exceeds 78178","Value is_within(3894,78178)"
czurna could be less than 3894 and more than 78178,"Value is_within(3894,78178)"
czurna might be in between 3894 to 78178,"Value is_within(3894,78178)"
czurna can be in range 3894 to 78178,"Value is_within(3894,78178)"
czurna is with in 3894 to 78178,"Value is_within(3894,78178)"
czurna must be in beetwen 3894 to 78178,"Value is_within(3894,78178)"
czurna is more than 3894 and also czurna should not exceed 78178,"Value is_within(3894,78178)"
"czurna is comprised between 3894, excluded, and 78178","Value is_within(3894,78178)"
czurna is strictly greater than 3894 and strictly lower than 78178,"Value is_within(3894,78178)"
"czurna IS LONGER THAN three thousand, eight hundred and ninety-four AND ALSO czurna IS SMALL THAN seventy-eight thousand, one hundred and seventy-eight","Value is_within(3894,78178)"
"czurna lies between three thousand, eight hundred and ninety-four and seventy-eight thousand, one hundred and seventy-eight","Value is_within(3894,78178)"
czurna equals a number under 3894 and over 78178,"Value is_within(3894,78178)"
czurna shall be found somewhere between 3894 and 78178,"Value is_within(3894,78178)"
"rpawmf should not be greater than 23972 ,but less than 6743","Value is_within(6743,23972)"
"rpawmf must be greater than 6743 ,but less than 23972","Value is_within(6743,23972)"
"rpawmf could be greater than 6743 ,but less than 23972","Value is_within(6743,23972)"
"rpawmf is more than 6743 ,but less than 23972","Value is_within(6743,23972)"
"rpawmf is greater than 6743,but less than 23972","Value is_within(6743,23972)"
"rpawmf must be greater than 6743,but less than  23972","Value is_within(6743,23972)"
"rpawmf exceeds 6743,but does not exceeds 23972","Value is_within(6743,23972)"
rpawmf could be less than 6743 and more than 23972,"Value is_within(6743,23972)"
rpawmf might be in between 6743 to 23972,"Value is_within(6743,23972)"
rpawmf can be in range 6743 to 23972,"Value is_within(6743,23972)"
rpawmf is with in 6743 to 23972,"Value is_within(6743,23972)"
rpawmf must be in beetwen 6743 to 23972,"Value is_within(6743,23972)"
rpawmf is more than 6743 and also rpawmf should not exceed 23972,"Value is_within(6743,23972)"
"rpawmf is comprised between 6743, excluded, and 23972","Value is_within(6743,23972)"
rpawmf is strictly greater than 6743 and strictly lower than 23972,"Value is_within(6743,23972)"
"rpawmf IS LONGER THAN six thousand, seven hundred and forty-three AND ALSO rpawmf IS SMALL THAN twenty-three thousand, nine hundred and seventy-two","Value is_within(6743,23972)"
"rpawmf lies between six thousand, seven hundred and forty-three and twenty-three thousand, nine hundred and seventy-two","Value is_within(6743,23972)"
rpawmf equals a number under 6743 and over 23972,"Value is_within(6743,23972)"
rpawmf shall be found somewhere between 6743 and 23972,"Value is_within(6743,23972)"
"mydxig should not be greater than 3478 ,but less than 7484","Value is_within(3478,7484)"
"mydxig must be greater than 7484 ,but less than 3478","Value is_within(3478,7484)"
"mydxig could be greater than 7484 ,but less than 3478","Value is_within(3478,7484)"
"mydxig is more than 7484 ,but less than 3478","Value is_within(3478,7484)"
"mydxig is greater than 7484,but less than 3478","Value is_within(3478,7484)"
"mydxig must be greater than 7484,but less than  3478","Value is_within(3478,7484)"
"mydxig exceeds 7484,but does not exceeds 3478","Value is_within(3478,7484)"
mydxig could be less than 7484 and more than 3478,"Value is_within(3478,7484)"
mydxig might be in between 7484 to 3478,"Value is_within(3478,7484)"
mydxig can be in range 7484 to 3478,"Value is_within(3478,7484)"
mydxig is with in 7484 to 3478,"Value is_within(3478,7484)"
mydxig must be in beetwen 7484 to 3478,"Value is_within(3478,7484)"
mydxig is more than 7484 and also mydxig should not exceed 3478,"Value is_within(3478,7484)"
"mydxig is comprised between 7484, excluded, and 3478","Value is_within(3478,7484)"
mydxig is strictly greater than 7484 and strictly lower than 3478,"Value is_within(3478,7484)"
"mydxig IS LONGER THAN seven thousand, four hundred and eighty-four AND ALSO mydxig IS SMALL THAN three thousand, four hundred and seventy-eight","Value is_within(3478,7484)"
"mydxig lies between seven thousand, four hundred and eighty-four and three thousand, four hundred and seventy-eight","Value is_within(3478,7484)"
mydxig equals a number under 7484 and over 3478,"Value is_within(3478,7484)"
mydxig shall be found somewhere between 7484 and 3478,"Value is_within(3478,7484)"
"scpkbs should not be greater than 75073 ,but less than 4524","Value is_within(4524,75073)"
"scpkbs must be greater than 4524 ,but less than 75073","Value is_within(4524,75073)"
"scpkbs could be greater than 4524 ,but less than 75073","Value is_within(4524,75073)"
"scpkbs is more than 4524 ,but less than 75073","Value is_within(4524,75073)"
"scpkbs is greater than 4524,but less than 75073","Value is_within(4524,75073)"
"scpkbs must be greater than 4524,but less than  75073","Value is_within(4524,75073)"
"scpkbs exceeds 4524,but does not exceeds 75073","Value is_within(4524,75073)"
scpkbs could be less than 4524 and more than 75073,"Value is_within(4524,75073)"
scpkbs might be in between 4524 to 75073,"Value is_within(4524,75073)"
scpkbs can be in range 4524 to 75073,"Value is_within(4524,75073)"
scpkbs is with in 4524 to 75073,"Value is_within(4524,75073)"
scpkbs must be in beetwen 4524 to 75073,"Value is_within(4524,75073)"
scpkbs is more than 4524 and also scpkbs should not exceed 75073,"Value is_within(4524,75073)"
"scpkbs is comprised between 4524, excluded, and 75073","Value is_within(4524,75073)"
scpkbs is strictly greater than 4524 and strictly lower than 75073,"Value is_within(4524,75073)"
"scpkbs IS LONGER THAN four thousand, five hundred and twenty-four AND ALSO scpkbs IS SMALL THAN seventy-five thousand and seventy-three","Value is_within(4524,75073)"
"scpkbs lies between four thousand, five hundred and twenty-four and seventy-five thousand and seventy-three","Value is_within(4524,75073)"
scpkbs equals a number under 4524 and over 75073,"Value is_within(4524,75073)"
scpkbs shall be found somewhere between 4524 and 75073,"Value is_within(4524,75073)"
"ncuclt should not be greater than 84151 ,but less than 94","Value is_within(94,84151)"
"ncuclt must be greater than 94 ,but less than 84151","Value is_within(94,84151)"
"ncuclt could be greater than 94 ,but less than 84151","Value is_within(94,84151)"
"ncuclt is more than 94 ,but less than 84151","Value is_within(94,84151)"
"ncuclt is greater than 94,but less than 84151","Value is_within(94,84151)"
"ncuclt must be greater than 94,but less than  84151","Value is_within(94,84151)"
"ncuclt exceeds 94,but does not exceeds 84151","Value is_within(94,84151)"
ncuclt could be less than 94 and more than 84151,"Value is_within(94,84151)"
ncuclt might be in between 94 to 84151,"Value is_within(94,84151)"
ncuclt can be in range 94 to 84151,"Value is_within(94,84151)"
ncuclt is with in 94 to 84151,"Value is_within(94,84151)"
ncuclt must be in beetwen 94 to 84151,"Value is_within(94,84151)"
